user_id,auth_date
16206,2019-05-26
39983,2017-09-21
175025,2018-10-23
1025986,2020-08-06
384378,2018-12-18
2950,2013-12-13
184961,2018-03-30
946185,2020-06-18
53757,2016-10-18
99236,2018-12-31
28454,2019-08-16
107324,2020-02-08
248761,2019-09-24
651931,2019-11-04
90128,2019-09-03
19997,2018-01-15
359024,2019-01-24
189416,2017-10-19
536127,2019-11-12
640079,2020-07-16
204038,2019-02-06
362684,2019-03-22
754576,2020-02-28
12002,2015-06-22
251467,2019-09-22
171962,2018-10-01
200691,2020-02-09
904644,2020-06-22
39686,2018-08-08
17234,2015-09-12
55155,2018-01-28
949228,2020-06-30
207406,2019-07-31
210008,2019-07-14
134020,2017-09-26
904339,2020-06-29
173744,2018-11-01
919628,2020-08-18
436621,2019-03-06
6617,2019-09-26
85697,2016-06-18
287816,2018-07-07
141497,2018-03-09
118782,2019-10-29
644197,2019-12-24
400723,2019-11-06
734614,2020-06-25
67358,2018-06-08
296119,2020-08-18
940265,2020-06-17
369229,2018-12-11
279544,2019-05-20
402737,2020-02-26
540403,2020-01-19
844912,2020-06-30
303032,2020-05-06
892573,2020-06-02
356523,2019-12-10
297259,2018-07-25
354802,2020-09-17
1027072,2020-08-20
18145,2018-01-14
295714,2018-09-19
459734,2019-07-22
699617,2020-03-03
16743,2016-08-28
256187,2020-07-14
86615,2017-06-01
93944,2017-08-05
70329,2017-08-27
787976,2020-02-27
566850,2019-08-13
692973,2020-06-28
42938,2015-04-26
953616,2020-06-22
368452,2019-03-22
992953,2020-07-17
668038,2019-12-28
99421,2017-02-09
136569,2019-01-30
208027,2018-05-30
97252,2017-11-26
801068,2020-03-15
752096,2020-05-08
421765,2020-09-09
103636,2019-04-06
97697,2017-07-26
181750,2020-09-21
215550,2018-01-22
746740,2020-07-27
627293,2019-10-12
58285,2020-01-21
398744,2019-01-14
11303,2013-07-23
58936,2019-08-19
59899,2016-04-30
82740,2017-10-03
974705,2020-08-29
394061,2019-02-17
1076243,2020-09-04
966997,2020-09-22
406573,2019-04-20
456668,2020-02-28
504269,2019-06-01
148383,2019-01-08
542627,2019-08-07
445724,2019-03-18
50267,2016-03-12
339989,2019-03-16
103603,2018-09-28
139047,2017-04-09
50630,2018-04-26
204479,2018-08-13
278843,2020-08-31
176736,2018-05-06
300489,2018-08-12
11910,2019-01-20
858770,2020-04-25
276844,2019-01-29
503068,2019-06-05
570315,2019-11-13
37611,2019-10-05
867439,2020-09-06
621212,2020-01-08
131935,2019-01-15
1089421,2020-09-11
405270,2019-02-22
455243,2020-03-26
725392,2020-03-27
428963,2019-03-21
280375,2020-08-13
117575,2017-12-12
173226,2020-05-08
749941,2020-02-04
